Ref,Val,Package,PosX,PosY,Rot,Side
"R7","1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",65.902500,-26.200000,180.000000,top
"R8","1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",65.900000,-27.600000,180.000000,top
"R10","4.7kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",37.100000,-39.900000,-90.000000,top
"R11","4.7kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",38.300000,-36.800000,90.000000,top
"R14","1kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",28.000000,-31.000000,-90.000000,top
"R20","4.7kR","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",55.300000,-57.900000,180.000000,top
"SW1","SW_Push","SW_Push_1P1T-SH_NO_CK_KMR2xxG",34.350000,-54.000000,0.000000,top
"SW2","SW_Push","SW_Push_1P1T-SH_NO_CK_KMR2xxG",34.450000,-57.700000,0.000000,top
"SW5","SW_SPDT_312","SW_SPDT_PCM12",71.670000,-55.750000,90.000000,top
"U1","STM32F405RGTx","LQFP-64_10x10mm_P0.5mm",43.575000,-47.000001,0.000000,top
"U2","AP2112K-3.3","SOT-23-5_HandSoldering",55.350000,-31.450000,180.000000,top
"U3","USBLC6-2SC6","SOT-23-6_Handsoldering",62.045000,-45.550000,180.000000,top
"U4","ICM-20602","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",53.400000,-53.087501,-90.000000,top
"U5","BMP280","Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering",35.000000,-37.800000,-90.000000,top
"U9","W25Q128JVS","SOIC-8_5.3x5.3mm_P1.27mm",47.800000,-60.335000,180.000000,top
"U10","FSUSB42MUX","MSOP-10_3x3mm_P0.5mm",54.250000,-45.750000,180.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",33.005959,-46.020102,-135.000000,top
